Project ID,Location,Type,Scope (km or m3),CapEx ($M),Duration (months),Safety Score,Delay %,Rework Cost %
OIL860,Redwater,Petrochemical Plant,299435 m3,766.98,14,82.9,8.3%,1.0%
OIL861,Bonnyville,Storage Terminal,215043 m3,401.62,6,88.0,7.1%,1.3%
OIL862,Regional Municipality of Wood Buffalo,Petrochemical Plant,185486 m3,663.93,15,89.7,7.9%,2.3%
OIL863,Clearwater County,Offshore Platform,185099 m3,748.21,18,89.5,7.8%,3.3%
OIL864,Fort Providence; Kakisa,Refinery,122010 m3,522.92,15,87.0,9.5%,0.9%
OIL865,Fort Simpson,Offshore Platform,194345 m3,546.62,15,91.8,4.0%,0.5%
OIL866,Athabasca County,Refinery,189728 m3,799.24,14,87.2,4.7%,1.8%
OIL867,Inuvik,Pipeline,161 km,976.01,20,93.3,1.7%,0.6%
OIL868,Regional Municipality of Wood Buffalo,Petrochemical Plant,120077 m3,658.82,21,82.9,8.2%,2.1%
OIL869,Inuvik,Offshore Platform,211929 m3,755.03,22,83.2,8.2%,1.4%
OIL870,Clyde River; Pond Inlet; Whale Cove,Offshore Platform,104078 m3,869.03,18,82.3,6.8%,2.2%
OIL871,Clyde River; Pond Inlet; Whale Cove,Offshore Platform,208387 m3,1019.56,25,86.5,5.2%,0.5%
OIL872,Chesterfield Inlet; Coral Harbour; Pond Inlet; Rankin Inlet,Pipeline,130 km,149.43,6,86.6,7.0%,1.1%
OIL873,M.D. of Opportunity No. 17,Storage Terminal,258411 m3,787.27,24,93.8,0.3%,0.5%
OIL874,Lutsel K’e,Pipeline,224 km,620.39,13,90.2,0.4%,0.5%
OIL875,Chesterfield Inlet; Coral Harbour; Pond Inlet; Rankin Inlet,Refinery,254580 m3,738.16,17,93.0,2.1%,0.8%
OIL876,Fort Providence; Kakisa,Offshore Platform,293234 m3,1160.36,33,83.1,9.7%,1.8%
OIL877,Lac La Biche County,Refinery,209359 m3,906.14,21,88.2,5.3%,2.4%
OIL878,Yellowhead County,Storage Terminal,230116 m3,859.65,23,91.5,3.7%,1.2%
OIL879,Strathcona County,Offshore Platform,88138 m3,712.36,22,77.0,12.1%,0.7%
OIL880,Bonnyville M.D. No. 87,Storage Terminal,133029 m3,725.47,20,86.9,3.1%,0.5%
OIL881,Bonnyville M.D. No. 87,Petrochemical Plant,271668 m3,777.87,18,89.4,6.5%,1.3%
OIL882,Peace River,Pipeline,473 km,647.71,15,88.7,5.6%,0.5%
OIL883,Redwater,Storage Terminal,287778 m3,1061.08,22,85.8,9.7%,1.3%
OIL884,Clyde River,Storage Terminal,108031 m3,659.26,17,85.9,6.0%,0.5%
OIL885,Dawson City,Refinery,196930 m3,760.53,23,90.0,5.0%,1.5%
OIL886,Whitehorse,Petrochemical Plant,110071 m3,892.01,19,89.6,5.2%,0.9%
OIL887,Inuvik,Petrochemical Plant,251675 m3,1091.38,29,89.0,8.0%,2.9%
OIL888,Whitehorse,Refinery,260171 m3,873.51,24,86.4,8.0%,1.8%
OIL889,Lac La Biche County,Pipeline,431 km,911.37,17,88.3,7.2%,1.9%
OIL890,Sachs Harbour,Petrochemical Plant,205021 m3,1155.65,29,82.9,5.4%,0.5%
OIL891,Chesterfield Inlet; Coral Harbour; Pond Inlet; Rankin Inlet,Refinery,261284 m3,916.48,24,82.8,9.0%,2.8%
OIL892,Edmonton,Offshore Platform,188355 m3,706.05,18,89.6,4.0%,0.5%
OIL893,Lutsel K’e,Petrochemical Plant,264469 m3,718.05,21,90.9,7.2%,2.0%
OIL894,Dawson City,Pipeline,270 km,1020.69,19,87.0,7.5%,2.1%
OIL895,Strathcona County,Offshore Platform,180842 m3,551.02,14,79.9,7.7%,2.6%
OIL896,Ponoka County No. 3,Pipeline,413 km,937.98,24,88.8,7.4%,2.1%
OIL897,Fort Providence; Kakisa,Offshore Platform,76844 m3,953.5,24,89.4,10.0%,1.9%
OIL898,Fort Providence; Kakisa,Offshore Platform,137235 m3,475.51,9,84.4,10.8%,1.6%
OIL899,Bonnyville M.D. No. 87,Storage Terminal,227805 m3,950.0,24,95.6,1.4%,0.5%
OIL900,Edmonton,Petrochemical Plant,144594 m3,451.25,15,83.4,7.2%,1.9%
OIL901,Ponoka County No. 3,Pipeline,397 km,551.56,13,94.5,6.4%,1.9%
OIL902,Lac La Biche County,Pipeline,432 km,731.1,19,92.8,4.0%,0.7%
OIL903,Clyde River; Pond Inlet; Whale Cove,Pipeline,193 km,846.25,21,90.9,5.5%,1.9%
OIL904,Peace River,Offshore Platform,75989 m3,258.49,7,86.9,7.1%,2.8%
OIL905,Lac La Biche County,Petrochemical Plant,179493 m3,600.39,15,80.0,8.5%,1.1%
OIL906,Clyde River,Refinery,70043 m3,693.96,16,90.8,3.0%,0.5%
OIL907,M.D. of Opportunity No. 17,Pipeline,308 km,448.91,9,93.9,1.6%,0.5%
OIL908,Chesterfield Inlet; Coral Harbour; Pond Inlet; Rankin Inlet,Petrochemical Plant,230786 m3,835.82,25,90.7,2.4%,0.9%
OIL909,Clearwater County,Petrochemical Plant,138913 m3,640.34,12,86.8,4.1%,0.7%
OIL910,Strathcona County,Pipeline,53 km,861.75,26,86.4,3.9%,0.5%
OIL911,Strathcona County,Storage Terminal,136332 m3,970.69,28,89.1,5.8%,0.7%
OIL912,Peace River,Storage Terminal,106974 m3,996.34,21,83.8,8.6%,1.2%
OIL913,Edmonton,Refinery,253755 m3,405.46,13,84.0,6.3%,1.7%
OIL914,Clearwater County,Storage Terminal,270010 m3,783.71,18,89.1,1.5%,0.5%
OIL915,Peace River,Pipeline,437 km,672.42,14,96.8,-1.0%,0.5%
OIL916,Whitehorse,Pipeline,149 km,711.94,17,86.0,9.1%,2.3%
OIL917,Bonnyville M.D. No. 87,Offshore Platform,67106 m3,888.38,20,91.7,6.3%,0.5%
OIL918,Yellowhead County,Refinery,131588 m3,459.84,14,89.7,4.8%,0.5%
OIL919,Yellowhead County,Offshore Platform,267192 m3,556.86,14,79.2,8.2%,2.0%
OIL920,Edmonton,Storage Terminal,290025 m3,831.35,21,84.7,4.6%,1.6%
OIL921,Lac La Biche County,Offshore Platform,123973 m3,580.22,17,84.6,6.8%,1.3%
OIL922,Strathcona County,Offshore Platform,75230 m3,910.6,22,88.3,3.4%,0.5%
OIL923,Clyde River,Pipeline,147 km,891.85,22,85.3,10.6%,1.9%
OIL924,Clearwater County,Petrochemical Plant,168915 m3,799.77,16,87.7,2.2%,0.5%
OIL925,Fort Simpson,Offshore Platform,185431 m3,896.2,19,85.3,4.3%,2.2%
OIL926,Chesterfield Inlet; Coral Harbour; Pond Inlet; Rankin Inlet,Storage Terminal,211938 m3,798.38,19,91.8,0.8%,0.7%
OIL927,Kugluktuk,Petrochemical Plant,54646 m3,739.95,15,82.0,10.7%,2.3%
OIL928,Whitehorse,Storage Terminal,231203 m3,887.43,19,80.7,12.1%,2.4%
OIL929,M.D. of Opportunity No. 17,Storage Terminal,163828 m3,583.3,17,90.4,9.3%,2.5%
OIL930,Dawson City,Pipeline,93 km,942.2,26,93.4,-0.7%,0.5%
OIL931,Redwater,Pipeline,335 km,881.81,24,86.6,5.8%,0.6%
OIL932,Sachs Harbour,Refinery,289359 m3,689.0,19,88.0,5.7%,0.5%
OIL933,Athabasca County,Petrochemical Plant,288292 m3,640.38,15,83.2,6.9%,1.7%
OIL934,Kugluktuk,Offshore Platform,95380 m3,729.37,15,86.8,5.2%,1.2%
OIL935,Strathcona County,Offshore Platform,162035 m3,1086.72,25,91.3,3.3%,0.5%
OIL936,Fort Simpson,Refinery,260154 m3,952.69,26,90.4,4.3%,0.5%
OIL937,Lutsel K’e,Offshore Platform,148869 m3,808.27,19,81.0,12.0%,1.9%
OIL938,Strathcona County,Storage Terminal,60355 m3,649.3,19,84.9,5.4%,2.4%
OIL939,Whitehorse,Petrochemical Plant,53810 m3,942.91,24,85.0,10.9%,2.0%
OIL940,M.D. of Opportunity No. 17,Refinery,298924 m3,573.79,14,94.4,1.0%,0.5%
OIL941,Sachs Harbour,Storage Terminal,276293 m3,823.54,16,91.8,2.2%,0.5%
OIL942,Fort Simpson,Petrochemical Plant,175806 m3,973.82,27,79.5,9.0%,2.6%
OIL943,Peace River,Refinery,83615 m3,533.51,17,82.1,7.6%,2.1%
OIL944,Fort Saskatchewan,Petrochemical Plant,94134 m3,670.52,13,82.9,9.8%,2.0%
OIL945,Ponoka County No. 3,Refinery,94387 m3,899.78,21,88.8,6.7%,1.0%
OIL946,Clyde River,Storage Terminal,180509 m3,793.95,19,88.5,6.0%,1.0%
OIL947,Lac La Biche County,Offshore Platform,155209 m3,892.74,24,87.2,8.0%,2.0%
OIL948,Bonnyville,Refinery,244466 m3,520.47,10,90.9,2.2%,0.7%
OIL949,Yellowhead County,Petrochemical Plant,177309 m3,519.53,19,86.9,6.4%,2.2%
OIL950,Redwater,Pipeline,448 km,987.83,21,90.4,2.5%,0.5%
OIL951,Redwater,Storage Terminal,179544 m3,667.62,17,90.2,6.3%,0.8%
OIL952,Kugluktuk,Storage Terminal,190721 m3,608.79,20,95.4,5.0%,1.8%
OIL953,Fort Saskatchewan,Refinery,174726 m3,887.56,23,97.0,-4.0%,0.5%
OIL954,Peace River,Pipeline,144 km,474.9,13,96.0,5.6%,0.6%
OIL955,Edmonton,Pipeline,328 km,639.96,15,98.5,-0.4%,0.5%
OIL956,Fort Simpson,Petrochemical Plant,58711 m3,725.0,13,83.3,3.8%,0.6%
OIL957,Inuvik,Petrochemical Plant,239878 m3,914.64,21,87.1,7.0%,0.5%
OIL958,Regional Municipality of Wood Buffalo,Petrochemical Plant,272787 m3,728.42,18,85.3,6.1%,1.0%
OIL959,Yellowhead County,Offshore Platform,204824 m3,877.13,22,87.6,7.4%,1.4%
OIL960,Bonnyville,Pipeline,117 km,541.79,9,94.7,2.4%,0.5%
OIL961,Kugluktuk,Storage Terminal,203557 m3,599.85,19,93.5,1.7%,1.5%
OIL962,Redwater,Storage Terminal,234286 m3,624.02,17,89.4,6.0%,1.5%
OIL963,Dawson City,Petrochemical Plant,108499 m3,425.05,10,81.9,9.2%,2.7%
OIL964,Chesterfield Inlet; Coral Harbour; Pond Inlet; Rankin Inlet,Pipeline,256 km,973.06,20,96.8,3.0%,0.5%
OIL965,Bonnyville,Pipeline,151 km,784.86,22,94.6,3.2%,0.7%
OIL966,Edmonton,Offshore Platform,81126 m3,1067.06,30,87.6,6.4%,0.5%
OIL967,Clearwater County,Refinery,183315 m3,700.34,21,84.2,6.3%,1.3%
OIL968,Fort Saskatchewan,Pipeline,199 km,716.62,15,94.7,1.8%,0.5%
OIL969,Regional Municipality of Wood Buffalo,Storage Terminal,226392 m3,783.22,18,92.3,4.0%,0.9%
OIL970,Fort Saskatchewan,Pipeline,294 km,1061.97,25,94.1,1.6%,0.5%
OIL971,Lutsel K’e,Storage Terminal,298399 m3,155.8,6,90.1,1.6%,0.5%
OIL972,Inuvik,Offshore Platform,66191 m3,1106.33,29,88.2,4.7%,1.4%
OIL973,Ponoka County No. 3,Petrochemical Plant,236737 m3,724.02,23,90.0,7.8%,1.9%
OIL974,Lutsel K’e,Refinery,118247 m3,780.05,22,87.6,6.4%,2.3%
OIL975,Fort Providence; Kakisa,Storage Terminal,98478 m3,1037.42,23,88.3,4.4%,0.5%
OIL976,Ponoka County No. 3,Storage Terminal,50246 m3,927.33,26,92.5,5.8%,2.1%
OIL977,Sachs Harbour,Storage Terminal,188542 m3,783.62,23,93.0,4.1%,0.7%
OIL978,Clyde River; Pond Inlet; Whale Cove,Storage Terminal,257888 m3,898.92,28,91.4,2.0%,0.8%
OIL979,Athabasca County,Refinery,231942 m3,757.26,13,82.5,12.2%,1.7%
OIL980,Clyde River; Pond Inlet; Whale Cove,Offshore Platform,90935 m3,912.76,19,78.0,13.2%,1.6%
OIL981,Redwater,Refinery,136569 m3,897.41,26,92.3,1.2%,0.5%
OIL982,Regional Municipality of Wood Buffalo,Pipeline,451 km,645.36,16,94.0,3.0%,0.5%
OIL983,Athabasca County,Pipeline,414 km,600.62,12,91.2,3.7%,0.9%
OIL984,Sachs Harbour,Petrochemical Plant,193279 m3,674.19,16,85.3,6.4%,2.9%
OIL985,Ponoka County No. 3,Petrochemical Plant,217848 m3,943.83,29,86.7,7.9%,2.1%
OIL986,Lutsel K’e,Refinery,102802 m3,791.75,23,90.6,6.4%,1.9%
OIL987,Ponoka County No. 3,Offshore Platform,177922 m3,974.8,25,85.7,5.5%,1.4%
OIL988,Dawson City,Offshore Platform,151131 m3,743.81,10,89.4,4.2%,0.5%
OIL989,Fort Simpson,Storage Terminal,123366 m3,1137.32,27,89.7,5.1%,1.6%
OIL990,Peace River,Refinery,281436 m3,792.17,20,92.9,2.8%,0.5%
OIL991,Edmonton,Petrochemical Plant,221796 m3,1052.37,27,93.3,1.9%,0.8%
OIL992,Fort Simpson,Offshore Platform,127338 m3,685.26,16,86.4,7.7%,0.5%
OIL993,Yellowhead County,Pipeline,177 km,866.01,26,91.6,4.7%,1.2%
OIL994,Peace River,Petrochemical Plant,181639 m3,954.73,20,83.1,7.6%,0.9%
OIL995,Kugluktuk,Petrochemical Plant,115263 m3,885.26,25,84.2,12.6%,4.1%
OIL996,Peace River,Pipeline,118 km,580.65,15,93.2,3.3%,0.5%
OIL997,Sachs Harbour,Petrochemical Plant,294413 m3,717.53,16,84.0,9.0%,1.1%
OIL998,Athabasca County,Pipeline,458 km,542.48,14,95.3,5.3%,1.5%
OIL999,Ponoka County No. 3,Offshore Platform,72161 m3,795.31,27,84.9,8.1%,0.5%
OIL1000,M.D. of Opportunity No. 17,Offshore Platform,158378 m3,497.81,10,91.0,5.6%,1.0%
